Vietnamese,English,Frequency,Status
"tương","",1,NEEDS TRANSLATION
"lối","",1,NEEDS TRANSLATION
"Lẳng","",1,NEEDS TRANSLATION
"lặng","",1,NEEDS TRANSLATION
"Thánh","",1,NEEDS TRANSLATION
"triều","",1,NEEDS TRANSLATION
"ngự","",1,NEEDS TRANSLATION
"ngai","",1,NEEDS TRANSLATION
"Thắp","light/kindle",1,TRANSLATED
"hết","",1,NEEDS TRANSLATION
"hào","",1,NEEDS TRANSLATION
"trị","",1,NEEDS TRANSLATION
"Ống","tube/pipe",1,TRANSLATED
"hỏa","",1,NEEDS TRANSLATION
"khí","",1,NEEDS TRANSLATION
"sát","",1,NEEDS TRANSLATION
"quỷ","",1,NEEDS TRANSLATION
"trừ","",1,NEEDS TRANSLATION
"Cố","",1,NEEDS TRANSLATION
"phúc","",1,NEEDS TRANSLATION
"Giông","",1,NEEDS TRANSLATION
"Ù","",1,NEEDS TRANSLATION
"ù","",1,NEEDS TRANSLATION
"Hòn","",1,NEEDS TRANSLATION
"Kẽm","",1,NEEDS TRANSLATION
"Đá","",1,NEEDS TRANSLATION
"Dừng","",1,NEEDS TRANSLATION
"quá","",1,NEEDS TRANSLATION
"chừng","",1,NEEDS TRANSLATION
"nhắn","send message",1,TRANSLATED
"chuồn","",1,NEEDS TRANSLATION
"đàn","",1,NEEDS TRANSLATION
"Hàn","",1,NEEDS TRANSLATION
"(hư","",1,NEEDS TRANSLATION
"ưm)","",1,NEEDS TRANSLATION
"thức","",1,NEEDS TRANSLATION
"Hãy","",1,NEEDS TRANSLATION
"Cảnh","scene/scenery",1,TRANSLATED
"khơi","",1,NEEDS TRANSLATION
"động","",1,NEEDS TRANSLATION
"reo","",1,NEEDS TRANSLATION
"(i","",1,NEEDS TRANSLATION
"muộn","",1,NEEDS TRANSLATION
"vơ","",1,NEEDS TRANSLATION
"vét","",1,NEEDS TRANSLATION
"(a","",1,NEEDS TRANSLATION
"sạch","",1,NEEDS TRANSLATION
"(mà","",1,NEEDS TRANSLATION
"(à)","",1,NEEDS TRANSLATION
"na","",1,NEEDS TRANSLATION
"Gêt","",1,NEEDS TRANSLATION
"gêt","",1,NEEDS TRANSLATION
"htơ","",1,NEEDS TRANSLATION
"hia","",1,NEEDS TRANSLATION
"ngục","",1,NEEDS TRANSLATION
"khôn","",1,NEEDS TRANSLATION
"chúa","",1,NEEDS TRANSLATION
"Đọc","",1,NEEDS TRANSLATION
"kinh","",1,NEEDS TRANSLATION
"nguyện","",1,NEEDS TRANSLATION
"Linh","soul/soldier",1,TRANSLATED
"Đến","come/arrive",1,TRANSLATED
"Thấp","short/low",1,TRANSLATED
"ngọn","",1,NEEDS TRANSLATION
"dang","",1,NEEDS TRANSLATION
"tứ","",1,NEEDS TRANSLATION
"ấm","",1,NEEDS TRANSLATION
"Ngọc","",1,NEEDS TRANSLATION
"Toản","",1,NEEDS TRANSLATION
"ngạn","",1,NEEDS TRANSLATION
"Kim","",1,NEEDS TRANSLATION
"Sương","",1,NEEDS TRANSLATION
"lạnh","",1,NEEDS TRANSLATION
"lùng","",1,NEEDS TRANSLATION
"Sóng","",1,NEEDS TRANSLATION
"lặn","",1,NEEDS TRANSLATION
"gây","",1,NEEDS TRANSLATION
"Trên","on/above",1,TRANSLATED
"Ở","",1,NEEDS TRANSLATION
"Ước","",1,NEEDS TRANSLATION
"gạch","",1,NEEDS TRANSLATION
"dọc","along",1,TRANSLATED
"ngang","",1,NEEDS TRANSLATION
"hồ","",1,NEEDS TRANSLATION
"nguyệt","",1,NEEDS TRANSLATION
"rửa","",1,NEEDS TRANSLATION
"(ư","",1,NEEDS TRANSLATION
"Nên","therefore/should",1,TRANSLATED
"ái","",1,NEEDS TRANSLATION
"ân","",1,NEEDS TRANSLATION
"khen","",1,NEEDS TRANSLATION
"vỗ","",1,NEEDS TRANSLATION
"nhện","",1,NEEDS TRANSLATION
"Trống","drum",1,TRANSLATED
"Tốn","",1,NEEDS TRANSLATION
"Đừng","don't",1,TRANSLATED
"Chữ","",1,NEEDS TRANSLATION
"tròn","",1,NEEDS TRANSLATION
"Khoa","",1,NEEDS TRANSLATION
"đắc","",1,NEEDS TRANSLATION
"cử","",1,NEEDS TRANSLATION
"nâu","brown",1,TRANSLATED
"tin","",1,NEEDS TRANSLATION
"Gạo","rice",1,TRANSLATED
"tiêu","",1,NEEDS TRANSLATION
"bận","",1,NEEDS TRANSLATION
"bịu","",1,NEEDS TRANSLATION
"vấn","",1,NEEDS TRANSLATION
"Bước","",1,NEEDS TRANSLATION
"Cá","fish",1,TRANSLATED
"uống","drink",1,TRANSLATED
"voi","",1,NEEDS TRANSLATION
"thòi","",1,NEEDS TRANSLATION
"lòi","",1,NEEDS TRANSLATION
"(tráo)","",1,NEEDS TRANSLATION
"may","sew",1,TRANSLATED
"quần","pants",1,TRANSLATED
"(chim)","",1,NEEDS TRANSLATION
"May","sew",1,TRANSLATED
"lan","",1,NEEDS TRANSLATION
"chậu","",1,NEEDS TRANSLATION
"hạc","",1,NEEDS TRANSLATION
"quy","",1,NEEDS TRANSLATION
"Dặn","",1,NEEDS TRANSLATION
"giàu","",1,NEEDS TRANSLATION
"mộ","",1,NEEDS TRANSLATION
"dẫu","",1,NEEDS TRANSLATION
"chờ","",1,NEEDS TRANSLATION
"gáo","",1,NEEDS TRANSLATION
"(Hỡi)","",1,NEEDS TRANSLATION
"Thêu","",1,NEEDS TRANSLATION
"xóm","",1,NEEDS TRANSLATION
"luôn","",1,NEEDS TRANSLATION
"bai","",1,NEEDS TRANSLATION
"Nào","which",1,TRANSLATED
"vải","fabric/cloth",1,TRANSLATED
"bụng","",1,NEEDS TRANSLATION
"quay","",1,NEEDS TRANSLATION
"bèo","",1,NEEDS TRANSLATION
"băm","",1,NEEDS TRANSLATION
"tằm","",1,NEEDS TRANSLATION
"ủng","",1,NEEDS TRANSLATION
"trổ","",1,NEEDS TRANSLATION
"ngược","",1,NEEDS TRANSLATION
"xuôi","downstream",1,TRANSLATED
"Trầu","",1,NEEDS TRANSLATION
"nhắm","",1,NEEDS TRANSLATION
"Hô","",1,NEEDS TRANSLATION
"pai","",1,NEEDS TRANSLATION
"siên","",1,NEEDS TRANSLATION
"Seo","",1,NEEDS TRANSLATION
"ché","",1,NEEDS TRANSLATION
"lai","",1,NEEDS TRANSLATION
"Mài","grind",1,TRANSLATED
"khơ","",1,NEEDS TRANSLATION
"léng","",1,NEEDS TRANSLATION
"po","",1,NEEDS TRANSLATION
"thố","",1,NEEDS TRANSLATION
"thài","",1,NEEDS TRANSLATION
"Lẻo","",1,NEEDS TRANSLATION
"Xẻ","split",1,TRANSLATED
"Cái","classifier",1,TRANSLATED
"đón","",1,NEEDS TRANSLATION
"ráy","",1,NEEDS TRANSLATION
"hự","",1,NEEDS TRANSLATION
"Xỉa","ethnic term",1,TRANSLATED
"Mè","sesame",1,TRANSLATED
"Đè","",1,NEEDS TRANSLATION
"Chép","",1,NEEDS TRANSLATION
"men","",1,NEEDS TRANSLATION
"đen","black",1,TRANSLATED
"chó","",1,NEEDS TRANSLATION
"mèo","",1,NEEDS TRANSLATION
"Lai","",1,NEEDS TRANSLATION
"đanh","",1,NEEDS TRANSLATION
"lửa","",1,NEEDS TRANSLATION
"trương","",1,NEEDS TRANSLATION
"Ngũ","",1,NEEDS TRANSLATION
"Đế","",1,NEEDS TRANSLATION
"Cấp","",1,NEEDS TRANSLATION
"kế","",1,NEEDS TRANSLATION
"tim","",1,NEEDS TRANSLATION
"hẹ","",1,NEEDS TRANSLATION
"hấp","",1,NEEDS TRANSLATION
"(Tà","",1,NEEDS TRANSLATION
"là)","",1,NEEDS TRANSLATION
"úy","",1,NEEDS TRANSLATION
"mất","",1,NEEDS TRANSLATION
"tan","",1,NEEDS TRANSLATION
"thống","",1,NEEDS TRANSLATION
"muôn","",1,NEEDS TRANSLATION
"vàn","",1,NEEDS TRANSLATION
"(nhạc","",1,NEEDS TRANSLATION
"Hội","",1,NEEDS TRANSLATION
"đúng","",1,NEEDS TRANSLATION
"chẵn","",1,NEEDS TRANSLATION
"quạt","",1,NEEDS TRANSLATION
"Trai","",1,NEEDS TRANSLATION
"Bắt","",1,NEEDS TRANSLATION
"râu","",1,NEEDS TRANSLATION
"trê","",1,NEEDS TRANSLATION
"nắm","",1,NEEDS TRANSLATION
"cổ","",1,NEEDS TRANSLATION
"hát","sing",1,TRANSLATED
"dường","",1,NEEDS TRANSLATION
"Qua","cross/over",1,TRANSLATED
"bức","",1,NEEDS TRANSLATION
"nữ","woman/female",1,TRANSLATED
"lịch","",1,NEEDS TRANSLATION
"Cả","",1,NEEDS TRANSLATION
"yếm","",1,NEEDS TRANSLATION
"xà","",1,NEEDS TRANSLATION
"tích","",1,NEEDS TRANSLATION
"Dây","thread/rope/string",1,TRANSLATED
"quạ","",1,NEEDS TRANSLATION
"trả","",1,NEEDS TRANSLATION
"vành","",1,NEEDS TRANSLATION
"vạnh","",1,NEEDS TRANSLATION
"giàng","",1,NEEDS TRANSLATION
"ngà","",1,NEEDS TRANSLATION
"Mê","",1,NEEDS TRANSLATION
"b'ra","",1,NEEDS TRANSLATION
"yoc","",1,NEEDS TRANSLATION
"cluôn","",1,NEEDS TRANSLATION
"Rô","",1,NEEDS TRANSLATION
"R'bơt","",1,NEEDS TRANSLATION
"S'ka","",1,NEEDS TRANSLATION
"sơ","",1,NEEDS TRANSLATION
"đun","",1,NEEDS TRANSLATION
"h'em","",1,NEEDS TRANSLATION
"mơn","",1,NEEDS TRANSLATION
"uê","",1,NEEDS TRANSLATION
"t'ơn","",1,NEEDS TRANSLATION
"t'ê","",1,NEEDS TRANSLATION
"lam","",1,NEEDS TRANSLATION
"a'","",1,NEEDS TRANSLATION
"B're","",1,NEEDS TRANSLATION
"B'ri","",1,NEEDS TRANSLATION
"b'ri","",1,NEEDS TRANSLATION
"K'ca","",1,NEEDS TRANSLATION
"sum","",1,NEEDS TRANSLATION
"K'a","",1,NEEDS TRANSLATION
"re","",1,NEEDS TRANSLATION
"xit","",1,NEEDS TRANSLATION
"bau","",1,NEEDS TRANSLATION
"e","",1,NEEDS TRANSLATION
"ban","",1,NEEDS TRANSLATION
"nụ","",1,NEEDS TRANSLATION
"rữa","",1,NEEDS TRANSLATION
"phương","",1,NEEDS TRANSLATION
"hói","",1,NEEDS TRANSLATION
"ám","",1,NEEDS TRANSLATION
"khoe","",1,NEEDS TRANSLATION
"sắc","",1,NEEDS TRANSLATION
"phấp","",1,NEEDS TRANSLATION
"phới","",1,NEEDS TRANSLATION
"Loa","",1,NEEDS TRANSLATION
"chiêng","",1,NEEDS TRANSLATION
"bát","eight/bowl",1,TRANSLATED
"Lũ","",1,NEEDS TRANSLATION
"Tôn","",1,NEEDS TRANSLATION
"sập","",1,NEEDS TRANSLATION
"Trùng","",1,NEEDS TRANSLATION
"Lớp","",1,NEEDS TRANSLATION
"lớp","",1,NEEDS TRANSLATION
"đoàn","",1,NEEDS TRANSLATION
"Chúng","",1,NEEDS TRANSLATION
"tung","",1,NEEDS TRANSLATION
"Bập","",1,NEEDS TRANSLATION
"bập","",1,NEEDS TRANSLATION
"bềnh","",1,NEEDS TRANSLATION
"băng","",1,NEEDS TRANSLATION
"lướt","",1,NEEDS TRANSLATION
"cuộn","",1,NEEDS TRANSLATION
"sáng","morning",1,TRANSLATED
"ngời","",1,NEEDS TRANSLATION
"ước","",1,NEEDS TRANSLATION
"giăng","spread",1,TRANSLATED
"Sao","why/how",1,TRANSLATED
"mãi","",1,NEEDS TRANSLATION
"lửng","",1,NEEDS TRANSLATION
"(lửng","",1,NEEDS TRANSLATION
"chồng)","",1,NEEDS TRANSLATION
"(lấy","",1,NEEDS TRANSLATION
"chưa)","",1,NEEDS TRANSLATION
"(nằm","",1,NEEDS TRANSLATION
"nằm)","",1,NEEDS TRANSLATION
"Đò","ferry",1,TRANSLATED
"(Đò","",1,NEEDS TRANSLATION
"đò)","",1,NEEDS TRANSLATION
"hột","",1,NEEDS TRANSLATION
"thóc","",1,NEEDS TRANSLATION
"lăn","",1,NEEDS TRANSLATION
"lóc","",1,NEEDS TRANSLATION
"lọc","",1,NEEDS TRANSLATION
"Xếp","fold/arrange",1,TRANSLATED
"trách","blame",1,TRANSLATED
"Chẳng","not",1,TRANSLATED
"xếp","fold/arrange",1,TRANSLATED
"Sim","",1,NEEDS TRANSLATION
"Như","",1,NEEDS TRANSLATION
